Date,Scrip,Open,High,Low,Close,PreClose,AdjClose,Volume,Value,Trade,Change,DateString,DateEpoch
/Date(1689465600000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,41552,0,0,0,16/07/2023 00:00:00,1689465600000
/Date(1689552000000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,5745,0,0,0,17/07/2023 00:00:00,1689552000000
/Date(1689638400000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,2297,0,0,0,18/07/2023 00:00:00,1689638400000
/Date(1689724800000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,1105,0,0,0,19/07/2023 00:00:00,1689724800000
/Date(1689811200000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,616,0,0,0,20/07/2023 00:00:00,1689811200000
/Date(1690070400000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,1351,0,0,0,23/07/2023 00:00:00,1690070400000
/Date(1690156800000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,503,0,0,0,24/07/2023 00:00:00,1690156800000
/Date(1690243200000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,3,0,0,0,25/07/2023 00:00:00,1690243200000
/Date(1690329600000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,263,0,0,0,26/07/2023 00:00:00,1690329600000
/Date(1690416000000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,5243,0,0,0,27/07/2023 00:00:00,1690416000000
/Date(1690675200000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,300,0,0,0,30/07/2023 00:00:00,1690675200000
/Date(1690848000000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,113,0,0,0,01/08/2023 00:00:00,1690848000000
/Date(1691020800000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,18,0,0,0,03/08/2023 00:00:00,1691020800000
/Date(1691280000000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,1,0,0,0,06/08/2023 00:00:00,1691280000000
/Date(1691366400000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,200,0,0,0,07/08/2023 00:00:00,1691366400000
/Date(1691625600000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,3,0,0,0,10/08/2023 00:00:00,1691625600000
/Date(1691971200000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,4,0,0,0,14/08/2023 00:00:00,1691971200000
/Date(1692144000000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,1,0,0,0,16/08/2023 00:00:00,1692144000000
/Date(1692489600000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,1,0,0,0,20/08/2023 00:00:00,1692489600000
/Date(1692576000000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,5000,0,0,0,21/08/2023 00:00:00,1692576000000
/Date(1692748800000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,54,0,0,0,23/08/2023 00:00:00,1692748800000
/Date(1692835200000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,3,0,0,0,24/08/2023 00:00:00,1692835200000
/Date(1693094400000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,3,0,0,0,27/08/2023 00:00:00,1693094400000
/Date(1693180800000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,10,0,0,0,28/08/2023 00:00:00,1693180800000
/Date(1693699200000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,41,0,0,0,03/09/2023 00:00:00,1693699200000
/Date(1693785600000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,2,0,0,0,04/09/2023 00:00:00,1693785600000
/Date(1693872000000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,9550,0,0,0,05/09/2023 00:00:00,1693872000000
/Date(1694044800000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,3700,0,0,0,07/09/2023 00:00:00,1694044800000
/Date(1694304000000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,530,0,0,0,10/09/2023 00:00:00,1694304000000
/Date(1694390400000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,350,0,0,0,11/09/2023 00:00:00,1694390400000
/Date(1694476800000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,103,0,0,0,12/09/2023 00:00:00,1694476800000
/Date(1694649600000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,2000,0,0,0,14/09/2023 00:00:00,1694649600000
/Date(1694908800000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,100,0,0,0,17/09/2023 00:00:00,1694908800000
/Date(1694995200000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,100,0,0,0,18/09/2023 00:00:00,1694995200000
/Date(1695081600000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,8200,0,0,0,19/09/2023 00:00:00,1695081600000
/Date(1695168000000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,952,0,0,0,20/09/2023 00:00:00,1695168000000
/Date(1695686400000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,150,0,0,0,26/09/2023 00:00:00,1695686400000
/Date(1696204800000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,654,0,0,0,02/10/2023 00:00:00,1696204800000
/Date(1696291200000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,5,0,0,0,03/10/2023 00:00:00,1696291200000
/Date(1696464000000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,350,0,0,0,05/10/2023 00:00:00,1696464000000
/Date(1697068800000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,2,0,0,0,12/10/2023 00:00:00,1697068800000
/Date(1697414400000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,1,0,0,0,16/10/2023 00:00:00,1697414400000
/Date(1697500800000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,2,0,0,0,17/10/2023 00:00:00,1697500800000
/Date(1698019200000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,140,0,0,0,23/10/2023 00:00:00,1698019200000
/Date(1698192000000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,1,0,0,0,25/10/2023 00:00:00,1698192000000
/Date(1698624000000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,1,0,0,0,30/10/2023 00:00:00,1698624000000
/Date(1698710400000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,250,0,0,0,31/10/2023 00:00:00,1698710400000
/Date(1699228800000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,101,0,0,0,06/11/2023 00:00:00,1699228800000
/Date(1699315200000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,6,0,0,0,07/11/2023 00:00:00,1699315200000
/Date(1699401600000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,100,0,0,0,08/11/2023 00:00:00,1699401600000
/Date(1699488000000)/,ACTIVEFINE,19.3,19.3,19.3,19.3,0,0,11,0,0,0,09/11/2023 00:00:00,1699488000000
